# ============================================================================ #
# SPA data from pattern './input-K=2-N=25-mock/*Phaselist.txt'
# timestamp: 2020-12-27, 12:04:01
# ============================================================================ #

# SPA data from pattern './input-K=2-N=25-mock/*Phaselist.txt'

# ============================================================================ #
FO_Multiplot with content FileWriter Output

# ============================================================================ #
FO_Matrix_1D at (0, 0.05) 

incoming configuration\outgoing configuration	[0,25]	[1,24]	[2,23]	[3,22]	[4,21]	[5,20]	[6,19]	[7,18]	[8,17]	[9,16]	[10,15]	[11,14]	[12,13]	[13,12]	[14,11]	[15,10]	[16,9]	[17,8]	[18,7]	[19,6]	[20,5]	[21,4]	[22,3]	[23,2]	[24,1]	[25,0]
[0,25]	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
[1,24]	nan	0.663146	0.479	0.399892	0.354466	0.324874	0.304272	0.28942	0.267413	0.236645	0.1821	0.100532	0.0256402	0.000536725	0.0410589	0.122925	0.204823	0.263633	0.28942	0.304272	0.324874	0.354466	0.399892	0.479	0.663146	nan
[2,23]	nan	0.479	0.345989	0.288848	0.256036	0.234661	0.209136	0.172709	0.113725	0.0377721	2.45424e-06	0.0376239	0.110482	0.135155	0.0832231	0.0151513	0.00564942	0.0637545	0.142627	0.206667	0.234661	0.256036	0.288848	0.345989	0.479	nan
[3,22]	nan	0.399892	0.288848	0.241144	0.213751	0.172317	0.124344	0.0505134	0.000901018	0.0308871	0.0955292	0.0932927	0.0258022	0.00358041	0.0636011	0.107956	0.0678365	0.00739822	0.0143191	0.0839026	0.160329	0.213751	0.241144	0.288848	0.399892	nan
[4,21]	nan	0.354466	0.256036	0.213751	0.158904	0.100351	0.0239518	0.0042616	0.0628472	0.0897212	0.0307816	0.00284853	0.0611277	0.0805946	0.0197697	0.0083581	0.0730857	0.087578	0.0270029	0.00222077	0.0593768	0.143062	0.213751	0.256036	0.354466	nan
[5,20]	nan	0.324874	0.234661	0.163039	0.0964099	0.0166742	0.011351	0.0741502	0.0654715	0.00359933	0.031155	0.0751402	0.0242003	0.00742961	0.0675473	0.0529247	0.000491898	0.0424645	0.0863155	0.0367158	0.000640112	0.0567972	0.150195	0.234661	0.324874	nan
[6,19]	nan	0.304272	0.19544	0.11057	0.0212848	0.0114035	0.0745927	0.0498473	8.62043e-05	0.0515152	0.0547933	0.000537469	0.0431556	0.0573664	0.0017876	0.038722	0.0648494	0.0064453	0.028916	0.0821167	0.0345127	0.0022845	0.0732221	0.192096	0.304272	nan
[7,18]	nan	0.28942	0.143515	0.0411015	0.00470001	0.0700459	0.0472234	0.00111689	0.0578895	0.0363405	0.00391125	0.0592119	0.0233959	0.0116061	0.0618618	0.0129727	0.0221206	0.0652985	0.00888578	0.0289304	0.0797171	0.021935	0.0128899	0.11424	0.28942	nan
[8,17]	nan	0.227231	0.0864343	0.00024247	0.0572808	0.0565592	0.000286935	0.0570481	0.0290915	0.0104237	0.058616	0.00576776	0.034198	0.0436868	0.00116219	0.0556516	0.0199736	0.0177401	0.0632468	0.00493443	0.0412902	0.072847	0.00438003	0.0493796	0.221054	nan
[9,16]	nan	0.169832	0.0238032	0.0293953	0.0732939	0.00164915	0.050195	0.0325256	0.0110254	0.0558489	0.00111709	0.0455871	0.023417	0.0161327	0.0506412	2.00483e-10	0.052316	0.0185702	0.023128	0.0578887	2.33663e-05	0.0650705	0.0476807	0.0059694	0.140532	nan
[10,15]	nan	0.116109	0.000534871	0.0777347	0.0192009	0.0325171	0.0460548	0.00537026	0.0562586	0.000826542	0.0482612	0.0137196	0.0290915	0.0342441	0.00933902	0.051154	2.00296e-05	0.0545679	0.00969283	0.0393646	0.0407253	0.0112338	0.0821249	0.00641171	0.0822618	nan
[11,14]	nan	0.052526	0.0363163	0.0637029	0.0061245	0.0633204	2.47718e-07	0.0564937	0.00375949	0.0459893	0.0126925	0.0336914	0.024254	0.0211823	0.036623	0.0100465	0.0481934	0.00217286	0.0572571	0.000314426	0.0615933	0.00974544	0.0574111	0.0467996	0.0334692	nan
[12,13]	nan	0.00658663	0.0856448	0.0102153	0.0577612	0.0133929	0.0447915	0.0164723	0.0366302	0.0196571	0.0307123	0.0231174	0.0260315	0.0270522	0.0220902	0.0317531	0.0185948	0.0377233	0.0153366	0.0459854	0.012118	0.0591522	0.00864588	0.0875249	0.0039826	nan
[13,12]	nan	0.00658663	0.0856448	0.0102153	0.0577612	0.0133929	0.0447915	0.0164723	0.0366302	0.0196571	0.0307123	0.0231174	0.0260315	0.0270522	0.0220902	0.0317531	0.0185948	0.0377233	0.0153366	0.0459854	0.012118	0.0591522	0.00864588	0.0875249	0.0039826	nan
[14,11]	nan	0.052526	0.0363163	0.0637029	0.0061245	0.0633204	2.47718e-07	0.0564937	0.00375949	0.0459893	0.0126925	0.0336914	0.024254	0.0211823	0.036623	0.0100465	0.0481934	0.00217286	0.0572571	0.000314426	0.0615933	0.00974544	0.0574111	0.0467996	0.0334692	nan
[15,10]	nan	0.116109	0.000534871	0.0777347	0.0192009	0.0325171	0.0460548	0.00537026	0.0562586	0.000826542	0.0482612	0.0137196	0.0290915	0.0342441	0.00933902	0.051154	2.00296e-05	0.0545679	0.00969283	0.0393646	0.0407253	0.0112338	0.0821249	0.00641171	0.0822618	nan
[16,9]	nan	0.169832	0.0238032	0.0293953	0.0732939	0.00164915	0.050195	0.0325256	0.0110254	0.0558489	0.00111709	0.0455871	0.023417	0.0161327	0.0506412	2.00483e-10	0.052316	0.0185702	0.023128	0.0578887	2.33663e-05	0.0650705	0.0476807	0.0059694	0.140532	nan
[17,8]	nan	0.227231	0.0864343	0.00024247	0.0572808	0.0565592	0.000286935	0.0570481	0.0290915	0.0104237	0.058616	0.00576776	0.034198	0.0436868	0.00116219	0.0556516	0.0199736	0.0177401	0.0632468	0.00493443	0.0412902	0.072847	0.00438003	0.0493796	0.221054	nan
[18,7]	nan	0.28942	0.143515	0.0411015	0.00470001	0.0700459	0.0472234	0.00111689	0.0578895	0.0363405	0.00391125	0.0592119	0.0233959	0.0116061	0.0618618	0.0129727	0.0221206	0.0652985	0.00888578	0.0289304	0.0797171	0.021935	0.0128899	0.11424	0.28942	nan
[19,6]	nan	0.304272	0.19544	0.11057	0.0212848	0.0114035	0.0745927	0.0498473	8.62043e-05	0.0515152	0.0547933	0.000537469	0.0431556	0.0573664	0.0017876	0.038722	0.0648494	0.0064453	0.028916	0.0821167	0.0345127	0.0022845	0.0732221	0.192096	0.304272	nan
[20,5]	nan	0.324874	0.234661	0.163039	0.0964099	0.0166742	0.011351	0.0741502	0.0654715	0.00359933	0.031155	0.0751402	0.0242003	0.00742961	0.0675473	0.0529247	0.000491898	0.0424645	0.0863155	0.0367158	0.000640112	0.0567972	0.150195	0.234661	0.324874	nan
[21,4]	nan	0.354466	0.256036	0.213751	0.158904	0.100351	0.0239518	0.0042616	0.0628472	0.0897212	0.0307816	0.00284853	0.0611277	0.0805946	0.0197697	0.0083581	0.0730857	0.087578	0.0270029	0.00222077	0.0593768	0.143062	0.213751	0.256036	0.354466	nan
[22,3]	nan	0.399892	0.288848	0.241144	0.213751	0.172317	0.124344	0.0505134	0.000901018	0.0308871	0.0955292	0.0932927	0.0258022	0.00358041	0.0636011	0.107956	0.0678365	0.00739822	0.0143191	0.0839026	0.160329	0.213751	0.241144	0.288848	0.399892	nan
[23,2]	nan	0.479	0.345989	0.288848	0.256036	0.234661	0.209136	0.172709	0.113725	0.0377721	2.45424e-06	0.0376239	0.110482	0.135155	0.0832231	0.0151513	0.00564942	0.0637545	0.142627	0.206667	0.234661	0.256036	0.288848	0.345989	0.479	nan
[24,1]	nan	0.663146	0.479	0.399892	0.354466	0.324874	0.304272	0.28942	0.267413	0.236645	0.1821	0.100532	0.0256402	0.000536725	0.0410589	0.122925	0.204823	0.263633	0.28942	0.304272	0.324874	0.354466	0.399892	0.479	0.663146	nan
[25,0]	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan

# ============================================================================ #
FO_Plot at (0.7, 0.05) 

	
incoming configuration ID	probability sum
0	0
1	7.07545
2	4.54275
3	3.38978
4	2.68435
5	2.18178
6	1.80409
7	1.50775
8	1.21853
9	0.995643
10	0.866819
11	0.783679
12	0.740972
13	0.740972
14	0.783679
15	0.866819
16	0.995643
17	1.21853
18	1.50775
19	1.80409
20	2.18178
21	2.68435
22	3.38978
23	4.54275
24	7.07545
25	0


